Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cambodia,0,,,,,,,0.005844911,0.016324986,0.031969578,0.04702264,0.076956056,0.226983238,0.260570198,0.300436644,0.317321781,0.46835672,0.49,0.51,0.53,1.26,3.1
Cameroon,0,,,,,,,0.006768744,0.013216341,0.129067581,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5
Canada,0.359828722,0.567957184,0.911695417,1.17926229,2.370288127,4.156162704,6.739808038,15.00351866,24.7871626,36.04954849,51.12938457,59.97791664,61.43564737,64.06331861,65.85001545,71.59660113,72.51535612,73.30581298,76.72038636,80.17086651,80.04213592,82.67934446
Cape Verde,0,,,,,,,0.24096792,0.472735008,1.159982461,1.822443852,2.685332713,3.518757175,4.324885391,5.31883207,6.074087107,6.808911008,8.28321982,20,25,30,32
Cayman Islands,0,,,0,0,3.948967193,,,,,,,,,,38.03438308,44.5,52,61,64.5,66,69.46594499
Central African Republic,0,,,,,,0.005849503,0.014270881,0.027878201,0.040894287,0.053394174,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1,1.8,2,2.2
Chad,0,,,,,,,0.000658168,0.004268504,0.012321728,0.035707076,0.045934134,0.166069665,0.320308555,0.360920107,0.3992577,0.581045764,0.847224521,1.19,1.5,1.7,1.9
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,0,,0.036548938,0.071783144,0.141084507,0.346980781,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,38.8,45,53.8938
China,0,,,0.000170147,0.001177609,0.004992261,0.013173925,0.032599617,0.169501808,0.711999281,1.78501572,2.652214163,4.615566607,6.224044749,7.325216965,8.548580494,10.55173889,16.04366918,22.66176993,28.97659939,34.38999549,38.39788704
Christmas Island,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,,,,0.107173945,0.18804679,0.330017773,0.550521023,1.126225245,1.697730794,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.4
Comoros,0,,,,,,,0,0.03787097,0.148162964,0.271740607,0.443068373,0.554869675,0.84818937,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5
"Congo, Dem. Rep.",0,,,,,,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2
"Congo, Rep.",0,,,,,,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6
Cook Is,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0,,0.001113325,0.081509754,0.279912479,0.416829206,0.84105704,1.640221288,2.666378698,3.904323257,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,42.12
Cote d'Ivoire,0,,,,,0.000200256,0.00840978,0.018828361,0.060974439,0.118685917,0.231461671,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,1.9,2,2.1,2.2
Croatia,0,,,0.096982256,0.268815993,0.5140287,0.890081964,1.749807002,3.332664752,4.391856703,6.76428775,11.66692179,17.864052,22.8349897,30.98326763,33.13989555,37.92688788,41.3465358,50.42182729,56.03958394,60.11970702,70.52644602
Cuba,0,,,,,9.1658E-05,0.031949001,0.068220214,0.226699199,0.314690541,0.541182549,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,23.23
Cyprus,0,,0.05006043,0.056367482,0.111034621,0.410120685,0.673343541,4.378272095,8.890539159,11.34239866,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,57.68
Czech Republic,0,,,0.580760599,1.257874245,1.452461652,1.93939533,2.913393387,3.889977266,6.817171538,9.752504965,14.68168024,23.94089704,34.27299983,35.4501312,35.21765921,47.88174858,51.82630744,62.68622733,64.13852478,68.64446628,72.8889968
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,
Denmark,0.097279065,0.194084375,0.386964079,0.578635602,1.345828887,3.825649841,5.706451857,11.36602703,22.64921525,30.58450445,39.17158719,42.9356563,64.18517551,76.17388772,80.86646322,82.74018321,86.73560981,85.14975798,85.0771224,86.86797134,88.75932497,89.97729817
Djibouti,0,,,,,0.01603083,0.031166241,0.082941498,0.094696004,0.105761909,0.194500528,0.343526263,0.486971705,0.625940229,0.781317175,0.953611449,1.270041159,1.62,2.26,4,6.5,7
Dominica,0,,,,,0.548762737,1.165518146,,2.925345191,2.932164377,8.814844198,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,51.3135
Dominican Republic,0,,,,,0.017233601,0.074987053,0.142687565,0.233914189,1.104743874,3.704692356,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,35.5
East Germany,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0,,0.005118035,0.016400751,0.034833586,0.043833641,0.086161276,0.110217959,0.125272771,0.823371634,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.4
Egypt,0,,,0.000975791,0.00638327,0.031319638,0.061466899,0.090480245,0.147987377,0.290445278,0.641265038,0.838945611,2.719999715,4.037885107,5.150666232,11.69839821,12.55279997,16.05,18.01,24.28,30.2,35.62
El Salvador,0,,,,,,0.086389581,0.256960679,0.425253672,0.845428741,1.177397269,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,17.68859598
Equatorial Guinea,0,,,,,,,0.041462292,0.094423774,0.097415945,0.132354665,0.165260423,0.321197997,0.520524272,0.843930285,1.149789671,1.279193596,1.557123059,1.82,2.13,6,
Eritrea,0,,,0,0,0,0,0.009017718,0.008774236,0.025495028,0.136711941,0.157815289,0.227090138,0.725623232,1.161025669,1.788460051,2.159383211,2.509846441,4.06,4.93,5.4,6.2
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,
Estonia,0,,0.065252816,0.301362566,1.163320929,2.786852943,3.535403123,5.7211708,10.82919814,14.54630827,28.60270304,31.49795227,41.45888024,45.26636159,53.16684093,61.43904388,63.53320976,66.24925009,70.65738833,72.57345902,74.15413074,76.53065709
Ethiopia,0,,,,,1.75491E-05,0.001703448,0.00496672,0.009663517,0.012541599,0.015263767,0.037162381,0.072402262,0.105811659,0.155334521,0.219659819,0.310592657,0.37,0.45,0.54,0.75,1.1
Faeroe Islands,0,,,,,0,2.318786811,4.601297566,11.33786848,22.29753835,32.91639236,43.24698352,53.29922183,58.91264097,66.53359947,67.90263174,69.35944512,75.98,75.57,75.18,75.2,80.7321728
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,
Fiji,0,,,0.006678447,0.007907399,0.009115343,0.064437142,0.223454842,0.633167865,0.942462063,1.496854734,1.857978594,6.1526497,6.725434738,7.412943485,8.453636634,9.6000384,10.89783105,13,17,20,28
Finland,0.401088474,1.396162786,1.884175563,2.565899705,4.913200453,13.90033654,16.78205302,19.45649457,25.44030613,32.27334121,37.22803204,43.08186648,62.39046955,69.18787978,72.36085388,74.45509807,79.65497801,80.80613384,83.71621739,82.53133098,86.90934362,89.33300444
France,0.051358396,0.136292982,0.271338368,0.574086886,0.874351842,1.590891489,2.508799722,4.129441202,6.130810476,8.862278766,13.87027699,25.48284606,29.18942498,34.94483263,37.8355608,41.39108117,45.22005544,63.74893924,68.18519055,69.0633593,77.28357938,76.76991667
French Guiana,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0,,,,,,0.090971944,0.21438525,1.316164696,3.448900232,6.357063545,6.251588946,8.200216486,14.12429379,17.88453743,21.54218547,25.10796425,28.59,33.87,44.6,49,49
Gabon,0,,,,,,0,0.047999009,0.17012488,0.249009564,1.216140618,1.347620222,1.939530106,2.659586594,2.9790698,4.89326475,5.489200803,5.767004576,6.21,6.7,7.23,8
Gambia,0,,,,,0.009217541,0.03550736,0.051311347,0.206094461,0.715827015,0.921794919,1.336791166,1.796779883,2.436781193,3.308003478,3.799001139,5.237691158,6.205037419,6.88,7.63,9.2,10.8703
Georgia,0,,,,,0.012675191,0.043330957,0.066214059,0.111456401,0.449318164,0.520673566,1.059972221,1.685923032,2.701259964,4.067386062,6.240889728,7.603591773,8.311866867,10.03356073,19.90086925,26.29252686,35.28069339
Germany,0.12536139,0.249141881,0.433440951,0.462319739,0.923185,1.843393972,3.065452305,6.734913847,9.914364049,20.90725137,30.26689089,31.66413443,48.78657938,55.86609122,64.73634072,68.76941828,72.29988238,75.38833586,78.34689488,79.48523153,82.52696855,83.44331664
Ghana,0,,,,,0.000347918,0.005648763,0.027537542,0.032240443,0.104895466,0.153615298,0.20000806,0.830284034,1.193057911,1.716797704,1.831197461,2.723175973,3.85,4.27,5.44,9.55,14.11
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Greece,0,0.04874523,0.048204812,0.191039732,0.378930408,0.752254491,1.401285071,1.857940148,3.236607539,6.912069848,9.196931697,11.0173514,14.78454371,17.94138254,21.58567933,24.17107186,32.45492427,36.08180804,38.3859944,42.56473331,44.57201236,53.40336545
Greenland,0,,,,0.064864865,0.053763441,1.788908766,7.917857143,14.59358289,21.57257759,31.7455516,35.49245785,44.16180899,54.6101553,56.22715997,57.96184602,59.89075011,61.89175351,63.92298573,63.924335,63.85028214,64.62258565
Grenada,0,0,0,0,0,0,0.298032982,0.990883868,1.484854484,2.473166147,4.063907991,5.128103982,14.75884055,18.64518218,19.57062058,20.48780488,21.39599117,22.29,23.18,24.05,33.46,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,
Guam,0,,,,0.34845391,0.659530909,1.356106888,2.344571647,4.50128419,8.497176323,16.11312704,25.38022753,31.19229426,33.71668179,36.16178784,38.55987756,43.851443,46.15047362,48.41870215,50.64202838,,
Guatemala,0,,,,,0.002998005,0.019534871,0.095476021,0.466590444,0.592652945,0.712332905,1.738201782,3.39174627,4.548854908,5.1,5.7,6.5,7.3,8.3,9.3,10.5,11.7274
Guernsey,,,,,,,,,,,,,,,,,,,,,,
Guinea,0,,,,0.000138318,0.000668589,0.001948942,0.003803109,0.006203369,0.060808919,0.095424924,0.175541868,0.402022749,0.450960371,0.508819332,0.542254181,0.637492123,0.780025279,0.92,0.94,1,1.3
Guinea-Bissau,0,,,,,,,0.016389063,0.024060421,0.117702448,0.230103171,0.299569145,1.022993234,1.354197478,1.808142203,1.901365316,2.057196705,2.206302237,2.354888711,2.303280592,2.45,2.672
Guyana,0,,,,,,0.065854115,0.131828033,0.26408811,3.966354735,6.611491566,13.2069865,,,,,,,18.2,23.9,29.9,32
Haiti,0,,,,,,0.007484253,,0.023999477,0.070658478,0.231270715,0.340832326,0.893432988,1.647358346,5.401261908,6.376201635,6.796000481,7.2,7.6,8.1,8.37,
Holy See,,,,,,,,,,,,,,,,,,,,,,
Honduras,0,,,,,0.036775252,0.043711246,0.170996468,0.301247214,0.573575476,1.203855999,1.415281931,2.597402597,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9
"Hong Kong, China",0,0.123164858,0.866167528,1.35102205,2.79002186,3.212474534,4.625447085,10.39687705,14.59079321,21.50748906,28.32175875,39.33127008,43.67434817,52.9091428,56.60151818,56.87209785,60.58621446,64.30299947,66.20931619,69.24419013,71.85115708,75.03293901
Hungary,0,0.003378532,0.048275799,0.193241867,0.483537589,0.677645965,0.969498501,1.942611452,3.894040868,5.857778952,6.999384325,14.52440006,16.67109125,21.6405934,27.74891169,38.96950163,47.02684287,53.22999187,55.9090561,47.90228692,52.9131968,58.97110059
Iceland,0,0.504270782,1.532226528,2.654280027,6.766408647,11.21629503,14.87271634,27.65197484,36.47077117,41.44671501,44.47132454,49.22382703,78.91636829,83.19829429,84.14708437,87.00263873,88.69322442,88.90033765,89.06540354,92.13686385,95.6257841,96.6183615
India,0,,0.000111308,0.000218176,0.001069562,0.026228879,0.046333977,0.070767849,0.139027329,0.273224277,0.52753245,0.660146377,1.537875582,1.686489971,1.976136492,2.388075,2.805499865,3.95,4.38,5.12,7.5,10.07
Indonesia,0,,,,0.001059744,0.026109477,0.056623989,0.194910264,0.255306646,0.444415936,0.925563864,2.018613859,2.134135733,2.38701978,2.600285876,3.602024763,4.764813134,5.786274729,7.917479385,6.92,10.92,18
Iran,0,,,,0.000408332,0.004179752,0.01582608,0.046756094,0.099815221,0.378569095,0.93419002,1.484221332,4.626175115,6.933721953,7.49,8.1,8.76,9.47,10.24,11.07,16,21
Iraq,0,,,,,,,,,,,0.098453235,0.493260395,0.592695286,0.890325617,0.892206863,0.942567049,0.919458819,0.988165135,1.047516616,2.471962007,4.954945487
Ireland,0,0.056850538,0.169251102,0.280330583,0.557801642,1.109036524,2.199874404,4.083458214,8.082906648,10.92262373,17.84392784,23.13628061,25.87520606,34.43006076,37.13008038,41.59127511,54.38362398,59.63731624,64.26494271,66.6733848,69.78043656,77.48431238
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,0.106969259,0.201324431,0.291458419,0.377998025,0.551889953,0.894695903,2.090186749,4.244706374,9.951673681,12.92580374,19.9642019,16.54818798,16.87662057,18.60461806,21.6409437,24.01060117,26.70097182,46.3858372,57.63095479,61.22570013,65.68314182,68.16559743
Italy,0.017579544,0.035123511,0.070174388,0.122689814,0.192716666,0.525554305,1.024694733,2.276654913,4.554096002,14.36763832,23.12882205,27.32818331,28.20751226,29.17090839,33.29055081,35.03831801,38.0806226,40.87240673,44.57413393,48.87539307,53.73987452,56.81747275
Jamaica,0,,,,0.036507825,0.108671947,0.585198539,0.789863231,1.96074827,2.34078518,3.106463921,3.862326887,6.119745568,7.86110302,10.10157689,12.9509351,16.60466284,21.36212953,23.89053855,24.61708273,28.06679822,31.9880041
Japan,0.020082459,0.040040587,0.095859763,0.398433646,0.794159301,1.58225972,4.340087015,9.090448285,13.2989712,21.20239483,29.71896567,38.15162324,46.08358834,47.85357434,61.680143,66.19826223,67.99107845,73.57005113,74.71545815,77.38468963,77.64879296,78.70865201
Jersey,,,,,,,,,,,,,,,,,,,,,,
Jordan,0,,,,,0.024269643,0.04686114,0.61917912,1.329923948,2.565298237,2.639458529,4.698596169,5.97813666,8.355819076,11.48324095,12.76675995,13.76221514,20.01922642,23.2462236,26.48611868,27.83075482,35.74225823
Kazakhstan,0,,,,0.000521886,0.011381126,0.032099592,0.065232805,0.132755785,0.469064975,0.671876725,1.008787489,1.679586134,2.007130604,2.657545946,2.966551957,3.269276025,4.017897341,10.98690864,17.91457965,31.02519714,44.04418008
Kenya,0,,,,,0.000727482,0.008839115,0.034406051,0.050261388,0.114256028,0.318059714,0.619782266,1.207773885,2.941902861,3.023528042,3.101897702,7.53378972,7.95,8.67,10.04,14,28
Kiribati,0,,,,,,,,0.616545618,1.211577838,1.785225474,2.337458948,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10
North Korea,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
South Korea,0.02332553,0.046235883,0.098553721,0.249953609,0.310748735,0.811854684,1.603709081,3.543897083,6.66580682,23.11365892,43.72972245,55.22979404,57.90179958,63.81092007,70.87141317,71.82980724,76.31708317,77.0185927,78.9893569,79.57903535,81.6224647,81.46396158
United Korea (former),,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,,,0.202898433,0.855662317,2.174535859,3.052397455,4.756222209,6.731395768,8.551792434,10.24896793,22.40293838,22.92711204,25.92610837,28.79119795,34.8,42,50.8,61.4,74.2
Kyrgyz Republic,0,,,,,,,,0.073646034,0.207183966,1.05340243,3.0289586,3.006471421,3.881677021,5.004293407,10.28850574,11.98929144,13.68596887,15.3617299,16.64503149,18.01606182,19.58445615
Lao,0,,,,,,,,0.009657814,0.037780708,0.111044032,0.181664461,0.267899241,0.333912466,0.36143449,0.85035749,1.169893428,1.64,3.55,6,7,9
Latvia,0,,,,,,0.814501448,2.058639728,3.328748952,4.409378385,6.350982469,7.25702418,22.04991465,27.08306585,38.68692484,46.10029767,53.7502952,59.31539687,63.55282048,67.03404295,68.81884531,72.42721557
Lebanon,0,,,,,0.071617991,0.140166939,1.241079739,2.722352199,5.376809498,7.952743736,6.783219775,7,8,9,10.14,15,18.74,22.53,30.14,43.68,52
Lesotho,0,,,,,,0.00284594,0.005584433,0.010956533,0.05380446,0.21180607,0.261150063,1.083943137,1.53249659,2.175524339,2.580245484,2.979708187,3.44543126,3.58,3.72,3.86,4.2248
Liberia,0,,,,,,,0.004489443,0.004099387,0.011328732,0.017702706,0.033812227,0.032713307,0.031868935,0.031011185,,,0.551376581,0.53,0.51,2.3,3
Libya,0,,,,,,,,,0.133617289,0.187042622,0.366533175,2.244418222,2.814517987,3.532838162,3.917787977,4.301051789,4.721999379,9,10.8,14,16.9981
Liechtenstein,0,,,,,,,,,,36.51522989,45.11685265,59.47071067,58.80969184,64.00744814,63.37135615,64.21416136,65.08021844,70,75,80,85
Lithuania,0,,,,,,0.277608544,0.978967042,1.972333219,2.922635016,6.427971077,7.175913006,17.65599754,25.85723045,31.19790272,36.2353184,43.9493184,49.95062999,55.24769127,59.78936591,62.81533985,67.17191353
Luxembourg,0,,0.152653068,0.30116992,0.495104818,1.586647487,5.540287981,7.141086355,11.75982428,17.39502648,22.84488963,35.99830058,39.5459604,53.91104887,64.84353996,68.80197696,71.42826495,78.21645082,81.91548476,87.28439193,90.70848335,90.70382493
"Macao, China",0,,,,0.036993376,0.280014086,0.727273598,2.364127672,7.003324245,9.212005085,13.60858974,22.52121677,25.17188016,25.74212398,31.48409738,34.86292717,46.4,47.327,49.24,54,53.8,58
"Macedonia, FYR",0,,,,,0.04074384,0.075995734,0.503985009,1.002861666,1.49733026,2.485566316,3.468184608,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9,56.7
Madagascar,0,,,,,,0.003695196,0.014333647,0.062561023,0.168608781,0.196394691,0.222511586,0.339720155,0.423252419,0.525353655,0.567721802,0.607552239,0.65,1.65,1.63,1.7,1.9
Malawi,0,,,,,,,0.004668518,0.018057365,0.087278755,0.126780945,0.164020725,0.215094727,0.278815116,0.347505335,0.384489334,0.42513749,0.965864737,0.7,1.07,2.26,3.33
Malaysia,0,,0.001047822,0.025538478,0.099607417,0.145673837,0.852044466,2.307393234,6.751770483,12.3055022,21.38473116,26.6959725,32.33820434,34.97115234,42.25226563,48.62917025,51.63798899,55.7,55.8,55.9,56.3,61
Maldives,0,0,0,0,0,0,0.22693009,0.309444238,0.569627464,1.119908615,2.203872939,3.617290649,5.347765169,5.97659285,6.588254875,6.869605067,11.03635278,16.3,23.2,24.8,28.3,34
Mali,0,,,,,,0.002055228,0.010085919,0.019793888,0.060909873,0.142545755,0.185897413,0.227045578,0.310364443,0.43281964,0.507063136,0.729627281,0.81,1.57,1.8,1.9,2
Malta,0,,,,,0.234800726,1.098335764,4.090526998,6.774804104,8.08664803,13.66585147,18.18343313,29.37830103,32.13256163,35.13032552,41.7973732,40.87494449,47.30794573,50.32265003,59.03473554,63.07875095,69.03084272
Marshall Islands,0,0,0,0,0,0,0.037059432,,,0.966071567,1.534271796,1.706614078,2.335444575,2.569750367,3.599776814,3.878702398,3.795590214,3.71082549,3.626772173,3.546042133,,
Martinique,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0,,,,,,,0.004172527,0.040594795,0.118464464,0.192031462,0.261448552,0.363229415,0.424004896,0.481470438,0.669966475,0.979661253,1.433613196,1.87,2.28,4,4.5
Mauritius,0,,,,,,0.186435279,0.481471192,2.594084678,4.688642667,7.337695439,8.842361807,10.3436041,12.29457462,13.82541499,15.33684383,16.88645053,20.46459981,22.07277253,22.80265796,28.73358822,35.50825383
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mexico,0,0.005880695,0.01730781,0.028305042,0.043339167,0.10256419,0.20040628,0.62731154,1.265783278,1.857436221,5.081384153,7.038023117,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,36.15
"Micronesia, Fed. Sts.",0,,,,,,0.278037795,0.570676845,1.858718785,2.797594069,3.734862137,4.660527199,5.570099705,9.2325021,11.01786731,11.8813691,12.75033925,13.62113273,14.49,15.35,20,
Moldova,0,,,,0.00097444,0.004081523,0.005454152,0.032807508,0.301412074,0.686360664,1.447502179,1.655275796,4.148664062,7.988892868,11.28997062,15.32896378,20.32897349,20.99105623,23.81554111,27.78729362,32.3981406,37.84906772
Monaco,0,,,,,,,,,,42.18486345,46.64614236,48.04711717,49.49116892,52.49019668,55.46482606,61.47603971,64.3776824,67.25,70.1,75,
Mongolia,0,,,,,0.008811225,0.018160749,0.112742554,0.145810542,0.50847156,1.255652004,1.653238239,2.039572603,,,,,,12.49,12.6,12.9,20
